Trace
Swept SA
A.17.55,N9010A
17310405202.6013,-56.5350476172863
17315407703.8519,-56.4502322945408
17320410205.1026,-56.3198757241788
17325412706.3532,-56.2553045749509
17330415207.6038,-56.1188869465934
17335417708.8544,-56.0855524924732
17340420210.1051,-56.0763383520181
17345422711.3557,-56.0842831900619
17350425212.6063,-56.2151902078339
17355427713.8569,-56.2548699173762
17360430215.1076,-56.3656935014762
17365432716.3582,-56.5024079880394
17370435217.6088,-56.6557339925826
17375437718.8594,-56.6823610289726
17380440220.1101,-56.7560600375632
17385442721.3607,-56.7636326274236
17390445222.6113,-56.7436471740317
17395447723.8619,-56.6753395938257
17400450225.1126,-56.6013442534734
17405452726.3632,-56.4706184156358
17410455227.6138,-56.4073151259785
17415457728.8644,-56.1955204365942
17420460230.1151,-56.0898523953466
17425462731.3657,-56.0544650337473
17430465232.6163,-56.0811303472857
17435467733.8669,-56.0216501999791
17440470235.1176,-56.1124294393275
17445472736.3682,-56.1419660489584
17450475237.6188,-56.252849650441
17455477738.8694,-56.4041508556353
17460480240.1201,-56.5751070673801
17465482741.3707,-56.5424563483154
17470485242.6213,-56.4924539432312
17475487743.8719,-56.4433100085661
17480490245.1226,-56.3252895231936
17485492746.3732,-56.2902300481142
17490495247.6238,-56.1764776616649
17495497748.8744,-56.0420049567732
17500500250.1251,-55.8315272584672
17505502751.3757,-55.694626212169
17510505252.6263,-55.5655923445907
17515507753.8769,-55.4458211203087
17520510255.1276,-55.3872322513028
17525512756.3782,-55.3581099920766
17530515257.6288,-55.3677643008384
17535517758.8794,-55.3562252142113
17540520260.1301,-55.4540422636937
17545522761.3807,-55.4362981951202
17550525262.6313,-55.4562055137165
17555527763.8819,-55.3671578467995
17560530265.1326,-55.39781157601
17565532766.3832,-55.3159141407107
17570535267.6338,-55.1632104026419
17575537768.8844,-55.1919833644136
17580540270.1351,-55.1119050470289
17585542771.3857,-54.9816725792814
17590545272.6363,-54.9271744615371
17595547773.8869,-54.7528132331647
17600550275.1376,-54.7505199895944
17605552776.3882,-54.6989222348638
17610555277.6388,-54.6855231076486
17615557778.8894,-54.6297457966418
17620560280.1401,-54.653372958246
17625562781.3907,-54.6218563381274
17630565282.6413,-54.6700461335729
17635567783.8919,-54.7252057486733
17640570285.1426,-54.7676391421764
17645572786.3932,-54.853192646132
17650575287.6438,-54.8288654748983
17655577788.8944,-54.9489059278689
17660580290.1451,-54.9516520216283
17665582791.3957,-55.010160007364
17670585292.6463,-54.9789786953135
17675587793.897,-54.9503155817113
17680590295.1476,-54.8983293533928
17685592796.3982,-54.9106698177863
17690595297.6488,-54.8615482762183
17695597798.8994,-54.8107835224611
17700600300.1501,-54.8178628132431
17705602801.4007,-54.8471027971656
17710605302.6513,-54.9299323727869
17715607803.902,-54.9761288114074
17720610305.1526,-55.031333058232
17725612806.4032,-55.122641080918
17730615307.6538,-55.1698782121163
17735617808.9045,-55.3763949286507
17740620310.1551,-55.4556655845441
17745622811.4057,-55.4969190089459
17750625312.6563,-55.6299996108702
17755627813.907,-55.6918091994092
17760630315.1576,-55.8518854536321
17765632816.4082,-55.9721364373971
17770635317.6588,-55.9396730589216
17775637818.9095,-56.0554102121496
17780640320.1601,-56.1254314042518
17785642821.4107,-56.191311748873
17790645322.6613,-56.1973009551018
17795647823.912,-56.2710884186196
17800650325.1626,-56.2183292239298
17805652826.4132,-56.3399765095013
17810655327.6638,-56.3905975438943
17815657828.9145,-56.5196682907892
17820660330.1651,-56.6245225450914
17825662831.4157,-56.79534432358
17830665332.6663,-56.981566970106
17835667833.917,-57.1379221569712
17840670335.1676,-57.3750352057468
17845672836.4182,-57.6253469434089
17850675337.6688,-57.7387216739821
17855677838.9195,-57.9551256220454
17860680340.1701,-58.059717885206
17865682841.4207,-58.1455192850704
17870685342.6713,-58.2070914235801
17875687843.922,-58.1956639522679
17880690345.1726,-58.1053309269541
17885692846.4232,-58.0895411941874
17890695347.6738,-58.1394203158626
17895697848.9245,-58.1281062448653
17900700350.1751,-58.1825031819121
17905702851.4257,-58.1802017401139
17910705352.6763,-58.2720507602159
17915707853.927,-58.3305490429643
17920710355.1776,-58.4591812246267
17925712856.4282,-58.611233967036
17930715357.6788,-58.6991364019059
17935717858.9295,-58.8498334255194
17940720360.1801,-58.9665744212437
17945722861.4307,-59.1394640781106
17950725362.6813,-59.1193891514646
17955727863.932,-59.1752281631366
17960730365.1826,-59.2331956914793
17965732866.4332,-59.2638064379444
17970735367.6838,-59.2326437216379
17975737868.9345,-59.2820989767175
17980740370.1851,-59.2238674477382
17985742871.4357,-59.2543570674281
17990745372.6863,-59.2013891068298
17995747873.937,-59.1798637319894
18000750375.1876,-59.0999848647028
18005752876.4382,-59.0990928933648
18010755377.6888,-59.0955603451482
18015757878.9395,-59.0885398761968
18020760380.1901,-59.0755932847587
18025762881.4407,-59.0115087717288
18030765382.6913,-59.0857212565856
18035767883.942,-59.0473276278658
18040770385.1926,-59.0451605498313
18045772886.4432,-59.0402524965196
18050775387.6938,-59.0348810823505
18055777888.9445,-58.9968667825065
18060780390.1951,-58.8358168440898
18065782891.4457,-58.8056374097098
18070785392.6964,-58.7047811196351
18075787893.947,-58.5106892131696
18080790395.1976,-58.3895256232348
18085792896.4482,-58.2068827848605
18090795397.6988,-58.0810176826205
18095797898.9495,-57.9706008963825
18100800400.2001,-57.8569739777171
18105802901.4507,-57.6964220320866
18110805402.7014,-57.6038780646243
18115807903.952,-57.5206113996679
18120810405.2026,-57.4844753066963
18125812906.4532,-57.4187173227258
18130815407.7039,-57.3365426334866
18135817908.9545,-57.2582607366694
18140820410.2051,-57.1565028884859
18145822911.4557,-57.0604901140566
18150825412.7064,-57.0025709192348
18155827913.957,-56.8104894003142
18160830415.2076,-56.6361084031018
18165832916.4582,-56.5319923879997
18170835417.7089,-56.3718187936375
18175837918.9595,-56.3193181911038
18180840420.2101,-56.2445602866292
18185842921.4607,-56.188657355111
18190845422.7114,-55.9971583612124
18195847923.962,-55.9749135603817
18200850425.2126,-55.8908171753249
18205852926.4632,-55.8355512511611
18210855427.7139,-55.8198248822499
18215857928.9645,-55.7670094462259
18220860430.2151,-55.7236117222498
18225862931.4657,-55.6769060404555
18230865432.7164,-55.7059719123189
18235867933.967,-55.6588144693071
18240870435.2176,-55.569024128843
18245872936.4682,-55.5259752331516
18250875437.7189,-55.5439191008423
18255877938.9695,-55.3751620397086
18260880440.2201,-55.3141776636796
18265882941.4707,-55.2550240929435
18270885442.7214,-55.2125774802397
18275887943.972,-55.1599940654034
18280890445.2226,-55.2630408184741
18285892946.4732,-55.3830080251711
18290895447.7239,-55.4055914290019
18295897948.9745,-55.5096936341976
18300900450.2251,-55.6556936321145
18305902951.4757,-55.7959505316049
18310905452.7264,-56.0366356964014
18315907953.977,-56.1943514223259
18320910455.2276,-56.2688456400981
18325912956.4782,-56.3924842018718
18330915457.7289,-56.4156491051183
18335917958.9795,-56.4582901523073
18340920460.2301,-56.4913294555611
18345922961.4807,-56.5427914883052
18350925462.7314,-56.4984125587987
18355927963.982,-56.6012545308755
18360930465.2326,-56.7029961463286
18365932966.4832,-56.8494584660491
18370935467.7339,-57.0245309043822
18375937968.9845,-57.2498681611275
18380940470.2351,-57.3849711361517
18385942971.4857,-57.5883475243804
18390945472.7364,-57.7807208637198
18395947973.987,-58.000519926831
18400950475.2376,-58.1655423124352
18405952976.4882,-58.2594610175463
18410955477.7389,-58.3727024722324
18415957978.9895,-58.5245030639254
18420960480.2401,-58.5169474592077
18425962981.4907,-58.6278628623508
18430965482.7414,-58.6722151354387
18435967983.992,-58.6422148703625
18440970485.2426,-58.6981008358237
18445972986.4932,-58.7340054222489
18450975487.7439,-58.7474011867182
18455977988.9945,-58.7187248965035
18460980490.2451,-58.7848670707921
18465982991.4957,-58.8080709363997
18470985492.7464,-58.8581215497204
18475987993.997,-58.993949695569
18480990495.2476,-59.1209014896984
18485992996.4982,-59.1779067900972
18490995497.7489,-59.2963188264443
18495997998.9995,-59.4259034063874
18501000500.2501,-59.5695644380688
18506003001.5008,-59.6962730597755
18511005502.7514,-59.7497935206705
18516008004.002,-59.8111047330839
18521010505.2526,-59.7976513573757
18526013006.5033,-59.8530486340781
18531015507.7539,-59.8081916773372
18536018009.0045,-59.8340996199689
18541020510.2551,-59.7172673216514
18546023011.5058,-59.6883370986348
18551025512.7564,-59.769145762364
18556028014.007,-59.6969900256606
18561030515.2576,-59.6675948667419
18566033016.5083,-59.6813342213091
18571035517.7589,-59.7308780307691
18576038019.0095,-59.7011787351256
18581040520.2601,-59.7483636022927
18586043021.5108,-59.8149994541671
18591045522.7614,-59.7823627119612
18596048024.012,-59.8568481441452
18601050525.2626,-59.898160055825
18606053026.5133,-59.9586859861305
18611055527.7639,-59.8462962506855
18616058029.0145,-59.8861121545532
18621060530.2651,-59.9353271481862
18626063031.5158,-59.7677361823266
18631065532.7664,-59.7967487887166
18636068034.017,-59.6568380253443
18641070535.2676,-59.62707957192
18646073036.5183,-59.5751520098376
18651075537.7689,-59.4776328992592
18656078039.0195,-59.4071322943204
18661080540.2701,-59.3808483053273
18666083041.5208,-59.3091650639574
18671085542.7714,-59.3550108247149
18676088044.022,-59.3568751592217
18681090545.2726,-59.2922505256787
18686093046.5233,-59.2895133830103
18691095547.7739,-59.3107600306111
18696098049.0245,-59.2329743457003
18701100550.2751,-59.1504063541071
18706103051.5258,-59.0900736633892
18711105552.7764,-59.0079604061214
18716108054.027,-58.8884719614316
18721110555.2776,-58.7266459304975
18726113056.5283,-58.6544072062466
18731115557.7789,-58.5550049643871
18736118059.0295,-58.4320260950969
18741120560.2801,-58.427644038464
18746123061.5308,-58.2921287401265
18751125562.7814,-58.3183818563703
18756128064.032,-58.2420571661378
18761130565.2826,-58.2270487180472
18766133066.5333,-58.213400415103
18771135567.7839,-58.1798489470042
18776138069.0345,-58.1797794907335
18781140570.2851,-58.079244934243
18786143071.5358,-58.0049850174166
18791145572.7864,-57.9494035165704
18796148074.037,-57.9283793062576
18801150575.2876,-57.7352592993897
18806153076.5383,-57.714997470981
18811155577.7889,-57.6421132675197
18816158079.0395,-57.6011058990728
18821160580.2901,-57.5576368698278
18826163081.5408,-57.5553129610909
18831165582.7914,-57.5709884756477
18836168084.042,-57.4801393635091
18841170585.2926,-57.506953219153
18846173086.5433,-57.3905203550297
18851175587.7939,-57.4174350836882
18856178089.0445,-57.4226937887263
18861180590.2951,-57.4274851303099
18866183091.5458,-57.4516075081169
18871185592.7964,-57.4895229435276
18876188094.047,-57.4232251271892
18881190595.2976,-57.3781534750957
18886193096.5483,-57.3726519336907
18891195597.7989,-57.4330779657459
18896198099.0495,-57.4527467789874
18901200600.3001,-57.4635791755721
18906203101.5508,-57.4553258335188
18911205602.8014,-57.4104179787997
18916208104.052,-57.3095729758205
18921210605.3027,-57.3911043792187
18926213106.5533,-57.3594478017247
18931215607.8039,-57.4312900081924
18936218109.0545,-57.515896449568
18941220610.3052,-57.6353736626611
18946223111.5558,-57.7202733842302
18951225612.8064,-57.865838675525
18956228114.057,-58.0110747572623
18961230615.3077,-58.0773544023664
18966233116.5583,-58.2205330630121
18971235617.8089,-58.2385702882177
18976238119.0595,-58.3297902100329
18981240620.3102,-58.3465405063735
18986243121.5608,-58.3249264346122
18991245622.8114,-58.3631593276665
18996248124.062,-58.4242955293744
19001250625.3127,-58.4301760291869
19006253126.5633,-58.4459998671586
19011255627.8139,-58.474626964178
19016258129.0645,-58.6393341159064
19021260630.3152,-58.6407651909283
19026263131.5658,-58.7356174525602
19031265632.8164,-58.8842860620866
19036268134.067,-58.9435783947555
19041270635.3177,-59.0654643609197
19046273136.5683,-59.1795618100639
19051275637.8189,-59.2517313668141
19056278139.0695,-59.2694079511584
19061280640.3202,-59.4668900357904
19066283141.5708,-59.5255998580116
